%This is the calibrator targets list which also includes various
%targets for collaborators.
% NO. OF TARGETS: 41
%
%Name          HR     HD       RA         Dec        V Mag
%-----------   ----   ------   --------   ---------   ---
tet And          63     1280   00 17 06   +38 40 54   4.6
zet Cas         153     3360   00 36 58   +53 53 49   3.7
eps Cas         542    11415   01 54 24   +63 40 12   3.3
pi Cet          811    17081   02 44 07   -13 51 31   4.2
bet Per         936    19356   03 08 10   +40 57 20   2.1
BD Cam         1105    22649   03 42 09   +63 13 01   5.1
19 Tau         1145    23338   03 45 12   +24 28 02   4.3
20 Tau         1149    23408   03 45 50   +24 22 04   3.9
27 Tau         1178    23850   03 49 10   +24 03 12   3.6
eps Per        1220    24760   03 57 51   +40 00 37   2.9
AB Aur                 31293   04 55 46   +30 33 04   7.1
MWC 480                31648   04 58 46   +29 50 37   7.6
eps Aur        1605    31964   05 01 58   +43 49 24   3.0
iot Tau        1620    32301   05 03 06   +21 35 24   4.6
eta Aur        1641    32630   05 06 31   +41 14 04   3.2
mu Lep         1702    33904   05 12 56   -16 12 20   3.3
Rigel          1713    34085   05 14 32   -08 12 06   0.1
gam Ori        1790    35468   05 25 08   +06 20 59   1.6
tet01 Ori C    1895    37022   05 35 17   -05 23 23   5.1
lam Gem        2763    56537   07 18 06   +16 32 25   3.6
bet Gem        2990    62509   07 45 19   +28 01 34   1.2
93 Leo         4527   102509   11 47 59   +20 13 08   4.5
del UMa        4660   106591   12 15 26   +57 01 57   3.3
ome Sco        5993   144470   16 06 48   -20 40 09   3.9
phi Her        6023   145389   16 08 46   +44 56 06   4.2
psi Sco        6031   145570   16 11 60   -10 03 51   4.9
zet Oph        6175   149757   16 37 10   -10 34 02   2.6
62 Oph         6629   161868   17 47 54   +02 42 26   3.8
4 Sgr          6700   163955   17 59 48   -23 48 58   4.7
67 Oph         6714   164353   18 00 39   +02 55 54   4.0
gam Lyr        7178   176437   18 58 57   +32 41 22   3.2
               7291   179949   19 15 33   -24 10 46   6.3
29 Cyg         7736   192640   20 14 32   +36 48 23   5.0
41 Cyg         7834   195295   20 29 24   +30 22 07   4.0
sig Cyg        8143   202850   21 17 25   +39 23 41   4.3
VV Cep         8383   208816   21 56 39   +63 37 32   5.2
iot Aqr        8418   209819   22 06 26   -13 52 11   4.3
zet02 Aqr      8559   213052   22 28 50   -00 01 12   4.4
eta Aqr        8597   213998   22 35 21   -00 07 03   4.0
zet Peg        8634   214923   22 41 27   +10 49 53   3.4
kap And        8976   222439   23 40 25   +44 20 02   4.1
