# This is a list of flat frames
# and their corresponding dates
Date         Frame
----------   -----
2005-03-03   16348
2005-04-01   16464
2005-04-22   16529
2005-05-19   16603
2005-06-28   16937
2005-07-16   16954
2005-07-26   16957
2005-08-22   17047
2005-09-16   17107
2005-09-17   17138
2005-09-27   17337
2005-10-11   17384
2005-11-08   17501
2005-11-18   17695
2005-12-12   17761
2005-12-20   17861
2006-01-14   17882
2006-01-24   18062
2006-02-07   18097
2006-03-17   18385
2006-04-10   18399
2006-04-19   18532
2006-05-22   18697
2006-06-10   18740
2006-08-03   18850
2006-09-06   18902
2006-10-03   18967
2006-10-28   30148 ***ALGOL RUN, CHANGE FRAME NUMBER***
2006-10-29   30303 ***ALGOL RUN, CHANGE	FRAME NUMBER***
2006-10-30   30456 ***ALGOL RUN, CHANGE FRAME NUMBER***
2006-10-31   30604 ***ALGOL RUN, CHANGE FRAME NUMBER***
2006-11-01   30697 ***ALGOL RUN, CHANGE FRAME NUMBER***
2006-12-09   19450
2006-12-30   19451
2007-01-26   19689
2007-02-03   19744
2007-02-27   19868
2007-03-09   20008
2007-03-26   20011
2007-05-03   20203
2007-05-08   20253
2007-06-04   20392
2007-06-05   20393
2007-06-22   20436
2007-10-23   20793   Observed by Jeff
2007-10-24   20839   Observed by Jeff
2007-10-26   NO FLAT?Observed by Hall
2007-10-27   20942   Observed by Skiff
2007-10-28   20945   Observed by Skiff
2007-12-18   21078
2007-12-19   21103
2007-12-20   21185   Old CCD (last night)
2008-11-14   22690   New CCD (first night)
2008-11-15   22837
2009-07-10   24729   Observed by Brian?
2009-07-12   24758
2009-07-13   24785
2009-12-06   26061
2009-12-07   26110
2011-06-21   28915
2011-06-22   28926
2011-06-23   28979
2011-12-12   29640
2011-12-15   29642
2012-06-21   30584
2012-06-22   30635
2012-06-23   30683
2013-06-25   32084
2013-06-26   32147
2013-06-27   32169
2013-12-10   33458
2013-12-11   33514
2014-06-30   35277
2014-07-01   35309
2015-03-31   36695
2015-04-01   36740
2015-06-23   37476
2015-06-24   37486
2015-06-25   37533
2015-12-13   38051
2015-12-14   38067
2016-06-29   39206
2016-12-21   40164
2017-07-11   40932
2017-07-12   40943
2017-12-20   41475
2017-12-21   41589
